                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1934,                 1.0724,                 1.1512,                0.76442,                0.57623,                0.63397,                0.20578,                 2.4037,                 1.1129,                 1.1779,               0.003466,               0.003466,               0.003466
                     35,                 2.1867,                 1.0676,                 1.1514,                0.76373,                0.59148,                0.64653,                0.21214,                 2.3762,                 1.1089,                  1.174,               0.003268,               0.003268,               0.003268
                     36,                 2.1827,                 1.0651,                 1.1489,                0.77054,                0.59008,                0.64771,                0.21323,                  2.378,                  1.105,                 1.1726,                0.00307,                0.00307,                0.00307
                     37,                 2.1778,                 1.0592,                 1.1426,                 0.7641,                0.58658,                0.64421,                0.21112,                 2.3823,                  1.107,                 1.1709,               0.002872,               0.002872,               0.002872
                     38,                  2.174,                 1.0519,                 1.1457,                0.77644,                0.59409,                0.65546,                0.21644,                  2.366,                 1.0874,                 1.1696,               0.002674,               0.002674,               0.002674
                     39,                 2.1694,                  1.049,                 1.1421,                 0.7749,                0.59906,                0.65548,                0.21771,                 2.3638,                 1.0879,                 1.1684,               0.002476,               0.002476,               0.002476
                     40,                 2.1464,                  1.025,                  1.188,                0.77209,                0.59743,                0.65458,                0.21704,                 2.3599,                 1.0901,                 1.1662,               0.002278,               0.002278,               0.002278
                     41,                 2.1337,                 1.0099,                 1.1784,                0.76545,                0.58829,                0.64733,                0.21372,                 2.3785,                 1.0913,                   1.17,                0.00208,                0.00208,                0.00208
                     42,                 2.1248,                 1.0044,                 1.1759,                0.77928,                0.59735,                0.65739,                0.21852,                 2.3575,                 1.0812,                 1.1656,               0.001882,               0.001882,               0.001882
                     43,                 2.1198,                0.99774,                 1.1745,                0.77396,                0.59585,                0.65376,                  0.216,                 2.3683,                 1.0838,                 1.1677,               0.001684,               0.001684,               0.001684
                     44,                 2.1088,                0.98938,                 1.1724,                0.78084,                0.59873,                0.65908,                   0.22,                 2.3518,                 1.0733,                 1.1632,               0.001486,               0.001486,               0.001486
                     45,                  2.103,                 0.9861,                 1.1718,                0.77617,                0.59779,                0.65648,                0.21971,                 2.3617,                  1.074,                 1.1675,               0.001288,               0.001288,               0.001288
                     46,                 2.0953,                0.97941,                 1.1685,                0.77454,                0.59988,                0.65916,                0.22052,                 2.3564,                 1.0682,                 1.1648,                0.00109,                0.00109,                0.00109
                     47,                 2.0907,                0.97537,                 1.1639,                0.77934,                0.60297,                0.66126,                0.22203,                 2.3561,                 1.0614,                 1.1652,               0.000892,               0.000892,               0.000892
                     48,                 2.0808,                0.96736,                 1.1639,                0.77625,                0.60399,                0.66251,                0.22194,                 2.3548,                 1.0655,                 1.1634,               0.000694,               0.000694,               0.000694
                     49,                 2.0796,                0.96704,                 1.1605,                0.77685,                0.60288,                0.66134,                0.22158,                  2.353,                 1.0641,                 1.1624,               0.000496,               0.000496,               0.000496
