                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0007,                 2.5726,                 2.0122,                0.26045,                0.37212,                0.30609,                0.16203,                 1.6415,                 1.8395,                 2.0324,               0.070248,              0.0033058,              0.0033058
                      1,                 1.4483,                 1.5885,                 1.6083,                0.27301,                0.55441,                0.39092,                 0.1703,                 1.9002,                 2.6379,                 2.3172,               0.040116,              0.0065077,              0.0065077
                      2,                 1.3806,                 1.5063,                 1.5691,                0.44306,                0.52551,                 0.4701,                0.26694,                 1.3559,                 1.3727,                 1.7577,               0.009853,              0.0095775,              0.0095775
                      3,                 1.3236,                 1.3664,                 1.5262,                0.35656,                0.39403,                0.36891,                0.20486,                 1.5732,                 1.6747,                 1.9601,               0.009406,               0.009406,               0.009406
                      4,                 1.2735,                 1.2372,                 1.4771,                0.38366,                0.48673,                0.46777,                0.29783,                 1.2375,                  1.233,                 1.6654,               0.009406,               0.009406,               0.009406
                      5,                 1.2391,                  1.185,                 1.4545,                0.44287,                0.60097,                0.52189,                0.34738,                 1.1434,                 1.0269,                 1.5642,               0.009208,               0.009208,               0.009208
                      6,                 1.2217,                 1.1248,                 1.4325,                0.48017,                 0.5329,                0.50919,                0.34964,                 1.1443,                 1.0257,                 1.5646,                0.00901,                0.00901,                0.00901
                      7,                 1.1724,                 1.0641,                 1.4065,                0.56572,                0.64966,                0.63014,                0.40889,                 1.1387,                0.97139,                 1.5449,               0.008812,               0.008812,               0.008812
                      8,                 1.1626,                 1.0421,                 1.3884,                0.49638,                0.56111,                0.54908,                 0.3862,                 1.0555,                0.94358,                 1.4687,               0.008614,               0.008614,               0.008614
                      9,                 1.1342,                0.98528,                 1.3684,                0.63769,                0.60992,                0.65207,                 0.4416,                 1.0405,                0.83752,                 1.4662,               0.008416,               0.008416,               0.008416
                     10,                 1.1097,                 0.9647,                 1.3463,                0.65041,                0.61162,                0.63472,                0.43944,                 1.0556,                 0.9399,                 1.4774,               0.008218,               0.008218,               0.008218
