                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.0929,                0.94317,                 1.3394,                0.62934,                0.69335,                0.67696,                0.46405,                 1.1178,                0.82013,                 1.5183,                0.00802,                0.00802,                0.00802
                     12,                  1.071,                0.91811,                 1.3214,                 0.6643,                0.65721,                0.67906,                0.44341,                 1.0386,                0.86245,                 1.4671,               0.007822,               0.007822,               0.007822
                     13,                 1.0656,                0.87868,                 1.3164,                 0.6723,                0.64712,                0.69565,                0.48147,                 1.0357,                0.78065,                 1.4525,               0.007624,               0.007624,               0.007624
                     14,                 1.0293,                 0.8556,                  1.281,                0.66854,                0.73963,                0.74538,                0.53034,                0.96113,                0.70505,                 1.3901,               0.007426,               0.007426,               0.007426
                     15,                 1.0264,                0.82933,                 1.2829,                0.62928,                0.62988,                  0.652,                0.41286,                 1.3911,                0.91875,                 1.7854,               0.007228,               0.007228,               0.007228
                     16,                0.99482,                0.80427,                 1.2583,                0.72045,                0.72188,                0.75137,                 0.5463,                0.97428,                0.67792,                 1.3953,                0.00703,                0.00703,                0.00703
                     17,                0.98966,                0.79083,                 1.2599,                0.74403,                0.76525,                0.78075,                 0.5644,                 0.9373,                0.70979,                 1.3666,               0.006832,               0.006832,               0.006832
                     18,                0.97242,                0.76068,                 1.2389,                0.75113,                 0.7667,                0.80194,                0.59196,                0.93066,                0.68853,                 1.3603,               0.006634,               0.006634,               0.006634
                     19,                0.95362,                0.75871,                 1.2299,                0.77418,                 0.7987,                0.82738,                 0.6022,                0.90844,                0.62099,                 1.3423,               0.006436,               0.006436,               0.006436
                     20,                0.95379,                0.74537,                 1.2309,                0.73735,                0.78357,                0.81375,                  0.578,                0.98939,                0.66057,                 1.3954,               0.006238,               0.006238,               0.006238
                     21,                0.93078,                0.73232,                 1.2074,                0.80571,                0.75377,                0.83708,                0.62971,                0.86616,                0.59007,                 1.3034,                0.00604,                0.00604,                0.00604
                     22,                 0.9102,                0.70818,                 1.2057,                0.78831,                0.73632,                0.79397,                0.58037,                0.89598,                0.66891,                 1.3306,               0.005842,               0.005842,               0.005842
                     23,                0.90414,                0.68384,                 1.1861,                0.84521,                0.78971,                0.87298,                0.64901,                0.87657,                 0.5835,                 1.3174,               0.005644,               0.005644,               0.005644
                     24,                0.89664,                0.68802,                 1.1948,                0.78868,                 0.8186,                0.86345,                0.64632,                0.93042,                0.59698,                 1.3515,               0.005446,               0.005446,               0.005446
                     25,                0.88079,                0.65858,                 1.1802,                0.79624,                0.82523,                0.85958,                0.65081,                 0.9394,                0.58175,                 1.3583,               0.005248,               0.005248,               0.005248
                     26,                0.87399,                 0.6519,                  1.165,                0.84712,                0.84445,                0.89492,                0.68127,                0.82882,                0.53311,                 1.2709,                0.00505,                0.00505,                0.00505
                     27,                0.84394,                0.63055,                 1.1548,                0.82105,                0.81125,                0.87084,                0.64793,                0.87121,                0.59091,                 1.3147,               0.004852,               0.004852,               0.004852
                     28,                0.85049,                0.62579,                 1.1587,                0.82114,                 0.8404,                0.89761,                 0.6981,                 0.7785,                0.51585,                 1.2323,               0.004654,               0.004654,               0.004654
                     29,                0.83121,                0.61395,                 1.1472,                0.87456,                0.85282,                0.90812,                0.70737,                0.82745,                0.51956,                 1.2722,               0.004456,               0.004456,               0.004456
                     30,                0.80783,                0.59878,                  1.129,                0.85365,                0.86634,                0.91448,                0.71213,                0.81933,                0.49273,                 1.2705,               0.004258,               0.004258,               0.004258
                     31,                0.80123,                0.58398,                 1.1265,                 0.9096,                0.86774,                0.93663,                0.74241,                0.75721,                0.46251,                 1.2114,                0.00406,                0.00406,                0.00406
                     32,                0.79699,                0.59172,                 1.1255,                0.89127,                0.85696,                0.91944,                  0.724,                0.79778,                0.48262,                 1.2529,               0.003862,               0.003862,               0.003862
                     33,                0.78256,                0.56507,                 1.1136,                0.90021,                0.83941,                0.91441,                0.69237,                0.88412,                0.51598,                 1.3162,               0.003664,               0.003664,               0.003664
                     34,                0.76191,                0.56046,                 1.0998,                0.89837,                0.88632,                 0.9382,                0.74938,                0.75783,                0.45756,                 1.2208,               0.003466,               0.003466,               0.003466
                     35,                 0.7624,                0.54815,                 1.1044,                0.87427,                0.88475,                 0.9372,                0.75686,                0.72945,                0.46449,                 1.1885,               0.003268,               0.003268,               0.003268
                     36,                0.74675,                0.55422,                 1.0828,                0.93584,                 0.8648,                0.94226,                0.76914,                0.71377,                0.44053,                 1.1801,                0.00307,                0.00307,                0.00307
                     37,                0.72726,                0.53379,                 1.0772,                 0.9204,                0.88603,                 0.9365,                0.76862,                0.68971,                0.43663,                  1.161,               0.002872,               0.002872,               0.002872
                     38,                0.71906,                0.53438,                 1.0771,                0.93132,                0.88054,                0.94609,                0.77546,                 0.7042,                 0.4372,                 1.1676,               0.002674,               0.002674,               0.002674
                     39,                0.71642,                0.51091,                   1.06,                0.94098,                0.88167,                0.94972,                0.79128,                0.66141,                0.42223,                 1.1318,               0.002476,               0.002476,               0.002476
                     40,                0.70787,                0.48285,                  1.124,                0.91773,                0.90819,                0.95778,                0.79607,                0.66854,                0.41691,                 1.1396,               0.002278,               0.002278,               0.002278
                     41,                0.66865,                 0.4549,                 1.0919,                0.90389,                  0.911,                0.95714,                0.79391,                 0.6813,                0.41592,                 1.1479,                0.00208,                0.00208,                0.00208
                     42,                0.65096,                0.44604,                 1.0795,                0.90129,                0.92088,                0.95242,                0.79894,                0.65435,                 0.4095,                 1.1305,               0.001882,               0.001882,               0.001882
                     43,                0.64042,                 0.4409,                 1.0772,                 0.9044,                0.90947,                0.96124,                0.81254,                0.63353,                0.40134,                 1.1129,               0.001684,               0.001684,               0.001684
                     44,                0.62647,                0.41941,                 1.0692,                0.92648,                0.91372,                0.95951,                0.81727,                0.62604,                0.39757,                 1.1097,               0.001486,               0.001486,               0.001486
                     45,                0.62576,                0.42949,                 1.0688,                 0.9334,                0.90612,                0.96375,                0.81954,                0.61638,                0.38986,                 1.0983,               0.001288,               0.001288,               0.001288
                     46,                0.59895,                0.40715,                 1.0423,                0.89941,                0.95313,                0.96728,                0.81633,                0.62416,                 0.3828,                  1.105,                0.00109,                0.00109,                0.00109
                     47,                0.59499,                0.40398,                 1.0375,                0.90913,                0.94583,                0.96787,                0.83083,                0.59401,                0.36885,                  1.088,               0.000892,               0.000892,               0.000892
                     48,                 0.5827,                0.40087,                 1.0356,                0.90037,                0.93765,                 0.9624,                0.82192,                0.59458,                0.38135,                 1.0862,               0.000694,               0.000694,               0.000694
                     49,                0.57434,                0.38323,                 1.0311,                0.92841,                 0.9247,                0.96739,                0.83454,                0.57403,                0.37028,                 1.0713,               0.000496,               0.000496,               0.000496
