                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6685,                 1.1166,                 1.3441,                0.38316,                0.52807,                0.41479,                0.18806,                 1.9343,                0.98091,                  1.379,               0.003268,               0.003268,               0.003268
                     36,                 1.6543,                 1.0991,                 1.3393,                0.56843,                0.51591,                0.51232,                0.25869,                 1.8934,                0.94007,                 1.3758,                0.00307,                0.00307,                0.00307
                     37,                 1.6486,                 1.0835,                 1.3371,                0.45987,                0.48518,                0.43817,                0.20166,                  1.929,                0.97234,                 1.3853,               0.002872,               0.002872,               0.002872
                     38,                 1.6381,                 1.0806,                 1.3353,                0.66891,                0.42952,                0.53124,                0.24306,                 1.8852,                0.96078,                  1.358,               0.002674,               0.002674,               0.002674
                     39,                 1.6403,                 1.0787,                 1.3325,                0.65664,                0.41604,                0.50194,                0.20366,                 1.9194,                0.92702,                 1.3704,               0.002476,               0.002476,               0.002476
                     40,                 1.6451,                  1.032,                 1.3634,                0.46858,                0.58848,                0.57114,                 0.2901,                 1.8727,                0.95177,                 1.3644,               0.002278,               0.002278,               0.002278
                     41,                 1.6269,                 1.0152,                 1.3505,                0.45648,                0.60327,                0.56586,                0.32474,                 1.8397,                0.93321,                 1.3427,                0.00208,                0.00208,                0.00208
                     42,                 1.6167,                0.99932,                 1.3469,                0.37781,                0.46312,                0.49364,                0.24417,                 1.8409,                0.94549,                 1.3506,               0.001882,               0.001882,               0.001882
                     43,                 1.6029,                0.99064,                 1.3347,                0.67427,                0.51177,                0.56073,                0.29276,                 1.8133,                0.90722,                 1.3298,               0.001684,               0.001684,               0.001684
                     44,                 1.5932,                0.97315,                 1.3292,                0.47375,                0.46898,                0.50507,                0.23832,                 1.8917,                0.94529,                 1.3679,               0.001486,               0.001486,               0.001486
                     45,                 1.5929,                0.96433,                 1.3262,                0.62405,                0.49475,                0.52497,                0.25642,                 1.8503,                0.92246,                 1.3444,               0.001288,               0.001288,               0.001288
                     46,                 1.5802,                0.95829,                 1.3277,                0.66825,                0.40642,                0.52667,                0.24223,                 1.8341,                0.91785,                 1.3384,                0.00109,                0.00109,                0.00109
                     47,                 1.5646,                 0.9558,                 1.3173,                0.61622,                0.43865,                  0.532,                0.24851,                 1.8493,                0.90335,                 1.3462,               0.000892,               0.000892,               0.000892
                     48,                 1.5548,                 0.9376,                 1.3129,                0.53383,                0.45289,                 0.5272,                0.25605,                 1.8607,                0.91689,                 1.3529,               0.000694,               0.000694,               0.000694
                     49,                 1.5401,                0.92733,                 1.3086,                 0.4489,                0.54176,                0.55211,                0.27357,                  1.892,                0.90321,                 1.3585,               0.000496,               0.000496,               0.000496
